device_type,browser,operating_system,page_views,session_duration,age,abandoned_cart,user_category,marketing_target
1,2,3,8,54,32,0,0,2
0,1,1,9,255,32,0,0,2
1,2,2,3,296,32,0,0,2
2,1,3,8,217,32,0,0,2
0,1,3,9,229,32,0,0,2
1,1,3,3,92,32,0,0,2
0,0,2,8,42,32,0,0,2
1,1,4,8,264,32,0,0,2
0,3,0,6,275,34,1,2,1
2,2,2,9,225,34,1,2,1
0,2,2,6,213,34,1,2,1
1,0,4,7,80,34,1,2,1
1,3,1,4,57,34,1,2,1
1,1,4,6,240,33,0,1,2
0,0,4,10,227,33,0,1,2
1,3,4,7,289,33,0,1,2
2,0,1,7,191,33,0,1,2
2,1,1,6,229,33,0,1,2
1,0,3,5,37,33,0,1,2
0,1,0,5,295,33,0,1,2
0,1,0,3,221,33,0,1,2
2,3,1,6,102,33,0,1,2
1,1,4,4,148,33,0,1,2
0,1,4,7,98,33,0,1,2
1,3,2,9,115,33,0,1,2
2,1,2,7,179,33,0,1,2
2,1,3,3,180,43,0,1,1
2,1,3,8,103,43,0,1,1
1,0,2,5,20,43,0,1,1
0,3,0,10,285,43,0,1,1
1,0,4,4,281,43,0,1,1
2,3,0,7,70,43,0,1,1
2,3,0,5,242,60,1,0,1
2,0,0,7,180,60,1,0,1
0,3,1,3,115,60,1,0,1
0,2,3,5,29,60,1,0,1
0,2,3,3,255,60,1,0,1
0,3,1,10,23,60,1,0,1
1,3,1,9,139,60,1,0,1
0,0,0,5,49,60,1,0,1
0,1,0,7,245,60,1,0,1
0,1,1,10,246,60,1,0,1
2,0,3,3,225,60,1,0,1
1,2,0,7,51,60,1,0,1
1,1,2,5,51,60,1,0,1
2,2,1,3,203,67,1,0,1
2,0,2,10,22,67,1,0,1
1,0,2,5,170,67,1,0,1
2,0,2,6,192,67,1,0,1
1,0,4,8,121,67,1,0,1
2,2,0,5,106,67,1,0,1
1,2,1,5,294,67,1,0,1
1,1,3,9,89,67,1,0,1
1,2,0,9,237,67,1,0,1
0,1,3,3,251,42,0,1,2
1,0,2,5,285,42,0,1,2
0,1,1,10,243,42,0,1,2
0,0,4,7,293,42,0,1,2
1,0,0,7,57,42,0,1,2
0,1,1,3,177,42,0,1,2
1,2,3,5,286,42,0,1,2
0,3,3,5,251,42,0,1,2
1,3,4,6,144,42,0,1,2
2,2,0,10,84,42,0,1,2
1,0,2,5,205,42,0,1,2
2,1,3,6,120,42,0,1,2
0,2,3,6,126,42,0,1,2
2,3,1,6,46,42,0,1,2
0,0,1,10,47,41,1,0,2
2,1,1,9,250,41,1,0,2
2,0,0,5,231,41,1,0,2
1,1,2,10,233,41,1,0,2
0,2,4,4,152,41,1,0,2
0,3,2,9,267,41,1,0,2
2,2,3,6,198,41,1,0,2
0,1,4,5,72,41,1,0,2
2,0,3,9,145,41,1,0,2
1,0,2,4,24,41,1,0,2
1,3,0,8,252,41,1,0,2
1,3,4,5,157,69,0,2,1
0,0,1,7,45,69,0,2,1
2,2,1,10,86,69,0,2,1
2,3,0,3,169,69,0,2,1
1,3,1,5,193,69,0,2,1
0,2,4,7,128,69,0,2,1
1,1,0,7,112,69,0,2,1
0,2,0,4,41,69,0,2,1
2,2,0,4,144,69,0,2,1
1,0,2,8,223,69,0,2,1
1,2,2,4,50,63,0,0,1
1,3,3,10,25,63,0,0,1
2,3,1,10,95,63,0,0,1
2,3,1,8,86,63,0,0,1
2,1,2,8,257,63,0,0,1
1,0,3,8,111,63,0,0,1
0,2,1,4,295,63,0,0,1
2,1,1,5,155,63,0,0,1
2,3,4,5,74,63,0,0,1
1,1,3,3,42,63,0,0,1
1,3,4,3,281,63,0,0,1
2,2,0,8,253,62,1,2,1
2,1,3,5,246,62,1,2,1
0,1,4,7,254,62,1,2,1
2,1,3,10,46,62,1,2,1
0,2,4,4,56,62,1,2,1
2,3,0,6,230,59,0,0,1
1,0,4,5,226,59,0,0,1
0,0,1,10,188,59,0,0,1
1,1,2,4,108,59,0,0,1
2,0,4,10,182,59,0,0,1
2,2,1,10,195,59,0,0,1
2,3,2,7,133,56,1,0,1
2,2,0,7,223,56,1,0,1
0,3,1,7,23,56,1,0,1
1,0,1,6,212,56,1,0,1
0,1,0,8,104,56,1,0,1
2,3,2,6,177,56,1,0,1
1,0,1,4,41,56,1,0,1
1,3,2,10,57,56,1,0,1
1,3,3,8,115,56,1,0,1
1,2,2,4,200,56,1,0,1
0,0,2,6,27,56,1,0,1
2,1,1,3,74,56,1,0,1
1,2,3,6,66,56,1,0,1
2,2,4,3,293,56,1,0,1
2,0,3,5,182,56,1,0,1
